Researched speaking opportunities for client visibility and authority building,,,,,,,,,,,,,,,,,
Sector,Event / Series,Opportunity Type,Event Start,Event End,Date Notes,City,State/Country,Venue / Format,Status,CFP / Speaker Deadline,Audience / Reach,Potential Cost to Speak,Why It Matters,Best Client Fit,Booking Path,Source URL,Visibility Tier
AI / Tech,Live! 360 Tech Con Orlando 2026,Session / workshop / panel,"Nov 15, 2026","Nov 20, 2026","Nov 15–20, 2026",Orlando,"Florida, USA",Loews Royal Pacific Resort Conference Center,Open,"Apr 5, 2026",Broad enterprise developer / IT audience,No speaker fee listed publicly,Multi-track tech event with broad enterprise exposure,"Developers, Microsoft/cloud/security/data experts",Submit via official call-for-speakers,https://live360events.com/events/orlando-2026/home.aspx,B
Women / Leadership,UW Women & Leadership Symposium 2026,Conference session,"Jul 14, 2026","Jul 14, 2026","July 14, 2026",Madison,"Wisconsin, USA",Memorial Union / UW–Madison,Open,"Apr 17, 2026",600+ participants,No honorarium; complimentary registration for selected speakers; travel typically self-funded,Solid leadership audience and clear speaker terms,"Leadership, culture, career growth, women in business",Submit via symposium proposal form,https://women.wisc.edu/symposium/,B
Women / Leadership,AIA Women’s Leadership Summit 2026,Session / workshop / panel,"Nov 1, 2026","Nov 3, 2026","Nov 1–3, 2026",Kansas City,"Missouri, USA",Loews Hotel Kansas City,Open,"Apr 21, 2026",Architecture and design leadership audience,No speaker fee listed publicly,Prestige event in design leadership; strong authority for built-environment experts,"Architecture, design leadership, inclusion, firm growth",Submit through official call for proposals,https://www.aia.org/design-excellence/conferences/womens-leadership-summit,B
Marketing / Content,CyberMarketingCon 2026,Conference session / workshop / panel,"Nov 15, 2026","Nov 18, 2026","Nov 15–18, 2026",Austin,"Texas, USA",Austin Marriott Downtown,Open,"May 15, 2026",Cybersecurity marketing audience across 12 tracks,No speaker fee listed publicly,Niche but authoritative stage for cyber and technical marketing voices,"Cybersecurity marketers, B2B demand gen, community, analyst relations",Submit via conference call-for-speakers,https://www.cybermarketingcon.com/,B
Knowledge Management,ACKMP Annual Knowledge Management Summit 2026,Session / workshop,,,2026 summit date not surfaced in snippet,TBD,TBD,Annual KM Summit,Open,"May 30, 2026",Knowledge management practitioners,No speaker fee listed publicly,Good specialist authority stage,"KM, intranets, knowledge ops, AI knowledge workflows",Submit via ACKMP speaker page,https://events.ackmp.org/call-for-speakers/,B
Women / Leadership,AWBC Leadership Conference 2026,Conference session / panel / facilitator,"Sep 15, 2026","Sep 18, 2026","Sep 15–18, 2026",Denver,"Colorado, USA","Denver, CO",Open,"Jun 1, 2026",Women business center ecosystem + entrepreneurs,No speaker fee listed publicly,Strong visibility in women’s entrepreneurship and small-business leadership,"Women founders, leadership, growth, access to capital",Submit proposal on official conference page,https://www.awbc.org/,B
Marketing / Content,Digital Summit Chicago 2026,Conference session / workshop,"Apr 7, 2026","Apr 8, 2026","Apr 07–08, 2026",Chicago,"Illinois, USA",Digital marketing conference,Open,,Senior marketers and growth practitioners,No speaker application fee listed publicly,Reliable B2B marketing stage with practical audience and repeatable format,"Demand gen, SEO, content, paid media, analytics, RevOps",Apply through Digital Summit speaker application,https://www.digitalsummit.com/speaker-application,B
SMB / Entrepreneurship,Small Business Expo – Washington 2026,Workshop / panel / keynote / webinar,"Apr 8, 2026","Apr 8, 2026","Apr 08, 2026",Washington,"DC, USA",Charles E. Smith Center,Open,,"Local SMB owners, founders, service providers",No speaker application fee listed publicly,Fastest way to build volume and repeated market presence,"SMB growth, sales, marketing, operations, entrepreneurship",Apply via Small Business Expo speaker/workshop host process,https://www.thesmallbusinessexpo.com/,B
Healthcare,Becker’s Oncology Executive Summit 2026,Panel / session,"Apr 13, 2026","Apr 14, 2026","Apr 13–14, 2026",Chicago,"Illinois, USA",Loews Chicago,Open,,Oncology executive audience,No speaker fee listed publicly,Niche but authoritative healthcare stage,"Oncology, care delivery, innovation, pharma partnerships",Submit via Becker’s call-for-speakers,https://conferences.beckershospitalreview.com/call-for-speakers/,B
Healthcare,Becker’s Spring Behavioral Health Summit 2026,Panel / session,"Apr 15, 2026","Apr 16, 2026","Apr 15–16, 2026",Chicago,"Illinois, USA",Hyatt Regency Chicago,Open,,Behavioral health leaders,No speaker fee listed publicly,Focused behavioral-health authority stage,"Behavioral health, care models, payer/provider collaboration",Submit via Becker’s call-for-speakers,https://conferences.beckershospitalreview.com/call-for-speakers/,B
Healthcare,Becker’s Spring Chief Pharmacy Officer Summit 2026,Panel / session,"Apr 15, 2026","Apr 16, 2026","Apr 15–16, 2026",Chicago,"Illinois, USA",Hyatt Regency Chicago,Open,,Pharmacy executives,No speaker fee listed publicly,Senior pharmacy leadership audience,"Pharmacy operations, medtech, AI, supply chain",Submit via Becker’s call-for-speakers,https://conferences.beckershospitalreview.com/call-for-speakers/,B
SMB / Entrepreneurship,Small Business Expo – New York (Spring) 2026,Workshop / panel / keynote / webinar,"May 7, 2026","May 7, 2026","May 07, 2026",New York (Spring),"New York, USA",New York City venue (see official page),Open,,"Local SMB owners, founders, service providers",No speaker application fee listed publicly,Fastest way to build volume and repeated market presence,"SMB growth, sales, marketing, operations, entrepreneurship",Apply via Small Business Expo speaker/workshop host process,https://www.thesmallbusinessexpo.com/,B
SMB / Entrepreneurship,Small Business Expo – Boston 2026,Workshop / panel / keynote / webinar,"May 27, 2026","May 27, 2026","May 27, 2026",Boston,"Massachusetts, USA",Boston venue (see official page),Open,,"Local SMB owners, founders, service providers",No speaker application fee listed publicly,Fastest way to build volume and repeated market presence,"SMB growth, sales, marketing, operations, entrepreneurship",Apply via Small Business Expo speaker/workshop host process,https://www.thesmallbusinessexpo.com/,B
SMB / Entrepreneurship,Small Business Expo – Chicago 2026,Workshop / panel / keynote / webinar,"Jun 10, 2026","Jun 10, 2026","Jun 10, 2026",Chicago,"Illinois, USA",Chicago venue (see official page),Open,,"Local SMB owners, founders, service providers",No speaker application fee listed publicly,Fastest way to build volume and repeated market presence,"SMB growth, sales, marketing, operations, entrepreneurship",Apply via Small Business Expo speaker/workshop host process,https://www.thesmallbusinessexpo.com/,B
Healthcare,"Becker’s Spine, Orthopedic and Pain Mgmt-Driven ASC + Future of Spine 2026",Panel / session,"Jun 11, 2026","Jun 13, 2026","Jun 11–13, 2026",Chicago,"Illinois, USA",Swissotel Chicago,Open,,"ASC, orthopedic, pain, and spine leaders",No speaker fee listed publicly,Strong specialty healthcare stage,"Orthopedics, surgery centers, devices, care models",Submit via Becker’s call-for-speakers,https://conferences.beckershospitalreview.com/call-for-speakers/,B
Marketing / Content,Digital Summit Denver 2026,Conference session / workshop,"Jun 15, 2026","Jun 16, 2026","Jun 15–16, 2026",Denver,"Colorado, USA",Digital marketing conference,Open,,Senior marketers and growth practitioners,No speaker application fee listed publicly,Reliable B2B marketing stage with practical audience and repeatable format,"Demand gen, SEO, content, paid media, analytics, RevOps",Apply through Digital Summit speaker application,https://www.digitalsummit.com/speaker-application,B
SMB / Entrepreneurship,Small Business Expo – San Francisco 2026,Workshop / panel / keynote / webinar,"Jun 25, 2026","Jun 25, 2026","Jun 25, 2026",San Francisco,"California, USA",South San Francisco Conference Center,Open,,"Local SMB owners, founders, service providers",No speaker application fee listed publicly,Fastest way to build volume and repeated market presence,"SMB growth, sales, marketing, operations, entrepreneurship",Apply via Small Business Expo speaker/workshop host process,https://www.thesmallbusinessexpo.com/,B
Marketing / Content,Digital Summit Minneapolis 2026,Conference session / workshop,"Aug 12, 2026","Aug 13, 2026","Aug 12–13, 2026",Minneapolis,"Minnesota, USA",Digital marketing conference,Open,,Senior marketers and growth practitioners,No speaker application fee listed publicly,Reliable B2B marketing stage with practical audience and repeatable format,"Demand gen, SEO, content, paid media, analytics, RevOps",Apply through Digital Summit speaker application,https://www.digitalsummit.com/speaker-application,B
SMB / Entrepreneurship,Small Business Expo – Las Vegas 2026,Workshop / panel / keynote / webinar,"Sep 10, 2026","Sep 10, 2026","Sep 10, 2026",Las Vegas,"Nevada, USA",Las Vegas venue (see official page),Open,,"Local SMB owners, founders, service providers",No speaker application fee listed publicly,Fastest way to build volume and repeated market presence,"SMB growth, sales, marketing, operations, entrepreneurship",Apply via Small Business Expo speaker/workshop host process,https://www.thesmallbusinessexpo.com/,B
SMB / Entrepreneurship,Small Business Expo – San Diego 2026,Workshop / panel / keynote / webinar,"Sep 18, 2026","Sep 18, 2026","Sep 18, 2026",San Diego,"California, USA",San Diego venue (see official page),Open,,"Local SMB owners, founders, service providers",No speaker application fee listed publicly,Fastest way to build volume and repeated market presence,"SMB growth, sales, marketing, operations, entrepreneurship",Apply via Small Business Expo speaker/workshop host process,https://www.thesmallbusinessexpo.com/,B
Marketing / Content,Digital Summit Philadelphia 2026,Conference session / workshop,"Sep 23, 2026","Sep 24, 2026","Sep 23–24, 2026",Philadelphia,"Pennsylvania, USA",Digital marketing conference,Open,,Senior marketers and growth practitioners,No speaker application fee listed publicly,Reliable B2B marketing stage with practical audience and repeatable format,"Demand gen, SEO, content, paid media, analytics, RevOps",Apply through Digital Summit speaker application,https://www.digitalsummit.com/speaker-application,B
SMB / Entrepreneurship,Small Business Expo – Los Angeles 2026,Workshop / panel / keynote / webinar,"Sep 30, 2026","Sep 30, 2026","Sep 30, 2026",Los Angeles,"California, USA",Pasadena Convention Center,Open,,"Local SMB owners, founders, service providers",No speaker application fee listed publicly,Fastest way to build volume and repeated market presence,"SMB growth, sales, marketing, operations, entrepreneurship",Apply via Small Business Expo speaker/workshop host process,https://www.thesmallbusinessexpo.com/,B
Marketing / Content,Digital Summit Atlanta 2026,Conference session / workshop,"Oct 6, 2026","Oct 7, 2026","Oct 06–07, 2026",Atlanta,"Georgia, USA",Digital marketing conference,Open,,Senior marketers and growth practitioners,No speaker application fee listed publicly,Reliable B2B marketing stage with practical audience and repeatable format,"Demand gen, SEO, content, paid media, analytics, RevOps",Apply through Digital Summit speaker application,https://www.digitalsummit.com/speaker-application,B
SMB / Entrepreneurship,Small Business Expo – New York (Fall) 2026,Workshop / panel / keynote / webinar,"Oct 15, 2026","Oct 15, 2026","Oct 15, 2026",New York (Fall),"New York, USA",New York City venue (see official page),Open,,"Local SMB owners, founders, service providers",No speaker application fee listed publicly,Fastest way to build volume and repeated market presence,"SMB growth, sales, marketing, operations, entrepreneurship",Apply via Small Business Expo speaker/workshop host process,https://www.thesmallbusinessexpo.com/,B
Fintech,WPI Fintech Conference 2026,Conference session / panel,"Oct 22, 2026","Oct 23, 2026","Oct 22–23, 2026",Worcester,"Massachusetts, USA","WPI / Worcester, MA",Open,,Academic + industry fintech audience,No speaker fee listed publicly,"Good for credibility with innovation, research, and industry mix","Fintech, AI in finance, compliance, digital assets, payments",Submit via official conference CFP,https://wpifintechconference.com/,B
Leadership / HR,Women’s Global Leadership Conference in Energy 2026,Conference session / panel,"Oct 28, 2026","Oct 29, 2026","Oct 28–29, 2026",Houston,"Texas, USA",Marriott Marquis Houston,Open,,Largest women’s event in the energy industry,No speaker fee listed publicly,High-authority energy leadership stage,"Energy, leadership, operations, transition, workforce",Submit via WGLC call-for-speakers / organizer outreach,https://wglconference.com/,B
SMB / Entrepreneurship,Small Business Expo – Austin 2026,Workshop / panel / keynote / webinar,"Oct 29, 2026","Oct 29, 2026","Oct 29, 2026",Austin,"Texas, USA",Austin venue (see official page),Open,,"Local SMB owners, founders, service providers",No speaker application fee listed publicly,Fastest way to build volume and repeated market presence,"SMB growth, sales, marketing, operations, entrepreneurship",Apply via Small Business Expo speaker/workshop host process,https://www.thesmallbusinessexpo.com/,B
Marketing / Content,Digital Summit Raleigh 2026,Conference session / workshop,"Nov 2, 2026","Nov 3, 2026","Nov 02–03, 2026",Raleigh,"North Carolina, USA",Digital marketing conference,Open,,Senior marketers and growth practitioners,No speaker application fee listed publicly,Reliable B2B marketing stage with practical audience and repeatable format,"Demand gen, SEO, content, paid media, analytics, RevOps",Apply through Digital Summit speaker application,https://www.digitalsummit.com/speaker-application,B
SMB / Entrepreneurship,Small Business Expo – Dallas 2026,Workshop / panel / keynote / webinar,"Nov 4, 2026","Nov 4, 2026","Nov 04, 2026",Dallas,"Texas, USA",Dallas venue (see official page),Open,,"Local SMB owners, founders, service providers",No speaker application fee listed publicly,Fastest way to build volume and repeated market presence,"SMB growth, sales, marketing, operations, entrepreneurship",Apply via Small Business Expo speaker/workshop host process,https://www.thesmallbusinessexpo.com/,B
SMB / Entrepreneurship,Small Business Expo – Phoenix 2026,Workshop / panel / keynote / webinar,"Nov 18, 2026","Nov 18, 2026","Nov 18, 2026",Phoenix,"Arizona, USA",Phoenix venue (see official page),Open,,"Local SMB owners, founders, service providers",No speaker application fee listed publicly,Fastest way to build volume and repeated market presence,"SMB growth, sales, marketing, operations, entrepreneurship",Apply via Small Business Expo speaker/workshop host process,https://www.thesmallbusinessexpo.com/,B
SMB / Entrepreneurship,Small Business Expo – Houston 2026,Workshop / panel / keynote / webinar,"Dec 2, 2026","Dec 2, 2026","Dec 02, 2026",Houston,"Texas, USA",Houston venue (see official page),Open,,"Local SMB owners, founders, service providers",No speaker application fee listed publicly,Fastest way to build volume and repeated market presence,"SMB growth, sales, marketing, operations, entrepreneurship",Apply via Small Business Expo speaker/workshop host process,https://www.thesmallbusinessexpo.com/,B
Marketing / Content,Digital Summit Dallas 2026,Conference session / workshop,"Dec 8, 2026","Dec 9, 2026","Dec 08–09, 2026",Dallas,"Texas, USA",Digital marketing conference,Open,,Senior marketers and growth practitioners,No speaker application fee listed publicly,Reliable B2B marketing stage with practical audience and repeatable format,"Demand gen, SEO, content, paid media, analytics, RevOps",Apply through Digital Summit speaker application,https://www.digitalsummit.com/speaker-application,B
CX / Customer Service,Future of CX Expo 2027,Conference session / panel,"Feb 9, 2027","Feb 11, 2027","Feb 9–11, 2027",Fort Lauderdale,"Florida, USA",Greater Fort Lauderdale/Broward County Convention Center,Open,,CX / contact center audience within TechSuperShow,No speaker fee listed publicly,Long-lead opportunity for CX and service-ops clients,"CX, AI, automation, digital experience",Use speaker submission path on expo site,https://futureofcxexpo.com/,B
Healthcare / Law,AHLA in-person and virtual speaking opportunities,Conference session / webinar,,,Calls usually posted 6–9 months before each event,Various,USA,AHLA event portfolio,Open,,Health law audience across multiple conferences,No speaker fee listed publicly,"Great fit for healthcare legal, compliance, and policy experts","Health law, compliance, reimbursement, privacy",Monitor AHLA call-for-speakers page,https://www.americanhealthlaw.org/education-events/call-for-volunteers/call-for-speakers,B
Destination / Travel,Destinations International 2026 events,Summit session / panel,,,Multiple 2026 events and summits,Various,USA,DI events portfolio,Open,,Destination marketing and tourism leadership audience,No speaker fee listed publicly,Strong niche authority stage in travel/tourism/destination marketing,"Tourism marketing, place branding, community alignment",Submit via 2026 DI call for speakers,https://destinationsinternational.org/article/2026-events-call-speakers,B
Marketing / Content,DigiMarCon global series,Conference session / keynote / panel,,,Multiple 2026 city events globally,Various,Global,33+ cities / 13+ countries,Open,,Large digital marketing event network,No speaker fee listed publicly,"Useful for volume, topic testing, and geographic targeting","Digital marketing, ecommerce, martech, growth",Submit speaker request through DigiMarCon,https://digimarcon.com/submit-speaker-request/,B
Startup / Founder,Startup Grind local chapter events,Meetup / fireside / chapter talk,,,Rolling chapter events in 500+ cities,Various,Global,Local chapter stages,Open,,500+ cities / 120+ countries,Speakers typically donate time; no fee to apply noted,High-volume route for repeat visibility and geographic targeting,"Founders, operators, investor-friendly stories, community-first speakers",Apply through Startup Grind speak page / chapter outreach,https://www.startupgrind.com/speak/,B
Restructuring / Finance,TMA 2026 meetings,Session proposal / panel,,,"Virtual Mid-Year (May), OPSTech (Sept), Annual Meeting (Nov)",Various,USA,TMA meeting portfolio,Open,,10k+ members across turnaround/restructuring ecosystem,No speaker fee listed publicly,Strong authority within restructuring / distressed investing,"Turnarounds, ops, distressed finance, leadership",Submit proposals via TMA meeting pages,https://www.turnaround.org/,B
Women / Leadership,WBENC events / forums,Conference session / panel,,,Rolling 2026 opportunities,Various,USA,WBENC events and community forums,Open,,Women-owned business and supplier-diversity ecosystem,No speaker fee listed publicly,Strong authority with corporate supplier diversity and women-owned business audiences,"Women founders, procurement, supplier diversity, scaling",Submit through WBENC speaking opportunities,https://www.wbenc.org/,B
Fintech,Fintech Meetup 2026,Panel / speaking slot,"Mar 30, 2026","Apr 1, 2026","Mar 30–Apr 1, 2026",Las Vegas,"Nevada, USA",Mandalay Bay,Open,,"6,000+ fintech attendees; 50,000+ meetings",Selected speakers receive complimentary ticket,Massive dealmaking audience and strong fintech visibility,"Fintech founders, banking, payments, regtech, B2B fintech",Use apply-to-speak page and contact organizers urgently,https://www.fintechmeetup.com/,A
Startup / Founder,Startup Grind Conference 2026,Panel / fireside / workshop,"Apr 27, 2026","Apr 29, 2026","Apr 27–29, 2026",Redwood City,"California, USA",Fox Theater / Silicon Valley,Open,,"5,000+ founders, operators, and investors",Likely sponsorship / organizer outreach; no public CFP noted,Startup brand halo and venture-network visibility,"Founders, GTM operators, fundraisers, B2B SaaS voices",Reach organizer / community team directly,https://www.startupgrind.tech/conference/,A
Fintech,fintech_devcon 2026,Talk / workshop / panel,"Aug 3, 2026","Aug 5, 2026","Aug 3–5, 2026",Denver,"Colorado, USA",Sheraton Denver Downtown,Open,"Mar 1, 2026",Fintech developers and technical leaders,No fee listed; late submissions go to waitlist,Strong niche technical fintech stage,"Fintech infra, API, developer tooling, security",Join waitlist / reach organizers directly,https://www.fintechdevcon.io/,B
SMB / Entrepreneurship,Small Business Expo – Philadelphia 2026,Workshop / panel / keynote / webinar,"Mar 25, 2026","Mar 25, 2026","Mar 25, 2026",Philadelphia,"Pennsylvania, USA",Pennsylvania Convention Center,Open,,"Local SMB owners, founders, service providers",No speaker application fee listed publicly,Fastest way to build volume and repeated market presence,"SMB growth, sales, marketing, operations, entrepreneurship",Apply via Small Business Expo speaker/workshop host process,https://www.thesmallbusinessexpo.com/,B
AI / Tech,Optimized AI Conference 2026,Conference / stage opportunity,"Mar 30, 2026","Mar 31, 2026","Mar 30–31, 2026",Atlanta,"Georgia, USA",Cobb Galleria Centre,Open,,AI operators and business leaders,Speaking path unclear; likely sponsor-led / on inquiry,Event is close; worth checking for last-minute panel or sponsor stage access,"AI consultants, enterprise AI operators, transformation leaders",Contact organizers directly if client needs a near-term stage,https://www.optimizedai.events/,B
PR / Comms,PRSA FutureCon 2026,Presentation / panel,"May 14, 2026","May 14, 2026","May 14, 2026",New York,"New York, USA",Edison Ballroom,Open,,Senior communicators and PR leaders,Speaker economics not public; may include sponsored speaking options,Strong PR/comms audience in a premium NYC format,"Communications leaders, reputation, AI in PR, executive comms",Review conference call-for-presentations / organizer outreach,https://www.prsa.org/events/conferences,B
Legal / Professional,NALP Professional Development Institute 2026,RFP / workshop / session,"Dec 3, 2026","Dec 4, 2026","Dec 3–4, 2026",Washington,"DC, USA","Washington, DC",Open,,Legal talent / professional development audience,No speaker fee listed publicly,Good authority play for legal talent and leadership topics,"Legal ops, talent, coaching, professional development",Review NALP RFP details and deadlines,https://www.nalp.org/,B
PR / Comms,PRSA ICON 2026,Breakout / panel / workshop,"Oct 18, 2026","Oct 20, 2026","Oct 18–20, 2026",Orlando,"Florida, USA",Orlando World Center Marriott,Open,"Mar 4, 2026",Flagship PRSA annual audience,No fee listed; 2026 call is closed,"Very strong authority play for PR executives, but timing missed for 2026","PR leaders, corporate comms, crisis, reputation",Track 2027 cycle early,https://www.prsa.org/events/conferences,A
Startup / Founder,EntreFEST 2026,Conference talk / panel,"Jun 11, 2026","Jun 12, 2026","June 11–12, 2026",Iowa City,"Iowa, USA",Downtown Iowa City,Open,"Dec 31, 2025","Entrepreneurs, innovators, small business owners",No fee listed; 2026 call already closed,"Solid entrepreneurship stage, but 2026 CFP has closed","Entrepreneurship, SMB growth, innovation",Track for 2027 or inquire about sponsor speaking,https://entrefest.com/call-for-speakers/,B
Women / Leadership,Women Lead Change – Cedar Rapids 2026,Breakout / keynote contest,"Apr 21, 2026","Apr 22, 2026","Apr 21–22, 2026",Cedar Rapids,"Iowa, USA",DoubleTree Cedar Rapids Convention Complex,Open,"Jan 16, 2026","1,000+ attendees (per sponsor materials)",$25 application fee; selected speakers receive complimentary registration; travel self-funded,"Strong regional visibility, but 2026 contest is closed","Women leaders, HR, culture, leadership development",Track for next cycle or sponsorship,https://www.womenleadchange.org/,B
